ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
160,SAO PAULO,,,,Bairro,2,0.0013386880856760374,0.0,4.0,21.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
161,SAO ROQUE,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
162,SAO SEBASTIAO,,,,Bairro,2,0.03614457831325301,0.0,6.0,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
163,SAO SIMAO,,,,Bairro,2,0.02677376171352075,0.0,5.0,31.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
164,SAVASSI,,,,Bairro,2,0.009370816599732263,0.0,1.0,35.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
165,SERRA VERDE,,,,Bairro,2,0.012048192771084338,0.0,6.0,42.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
166,SION,,,,Bairro,2,0.028112449799196786,1.0,3.0,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
167,TERRA AZUL,,,,Bairro,2,0.04417670682730924,2.0,4.0,40.0,PARDA,ALFABETIZADO
168,TIETE,,,,Bairro,2,0.049531459170013385,1.0,4.0,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
169,TOTONHO CARVALHO,,,,Bairro,2,0.0,0.0,5.0,-1.0,DESCONHECIDO,DESCONHECIDO
170,UNIVERSITARIO,,,,Bairro,2,0.006693440428380187,0.0,4.0,29.0,PARDA,SUPERIOR COMPLETO
171,VALE DO SOL,,,,Bairro,2,0.05220883534136546,2.0,4.0,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
172,VILA BELO HORIZONTE,,,,Bairro,2,0.06559571619812583,0.0,6.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
173,VILA CASTELO,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
174,VILA CENTRAL DO DIVINO,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
175,VILA CRUZEIRO,,,,Bairro,2,0.03480589022757698,1.0,8.0,43.0,BRANCA,SUPERIOR COMPLETO
176,VILA DAS OLIVEIRAS,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
177,VILA DAS ROSEIRAS,,,,Bairro,2,0.08433734939759036,0.0,2.0,37.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
178,VILA MINAS GERAIS,,,,Bairro,2,0.0,0.0,4.0,-1.0,DESCONHECIDO,DESCONHECIDO
179,VILA RICA,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
180,VILA RICA ,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
181,VILA ROMANA,,,,Bairro,2,0.028112449799196786,0.0,3.0,47.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
182,VILA ROSEIRAS,,,,Bairro,2,0.002677376171352075,0.0,1.0,39.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
183,VILA SANTO ANDRE,,,,Bairro,2,0.008032128514056224,0.0,2.0,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
184,VISTA ALEGRE,,,,Bairro,2,0.012048192771084338,1.0,5.0,37.0,BRANCA,ALFABETIZADO
185,VIVENDAS DA EXPOSICAO,,,,Bairro,2,0.0013386880856760374,0.0,6.0,37.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU 
186,WALCHIR RESENDE,,,,Bairro,2,0.006693440428380187,0.0,2.0,44.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
187,XAVANTE,,,,Bairro,2,0.008032128514056224,0.0,1.0,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
188,YANES,,,,Bairro,2,0.0,0.0,5.0,-1.0,DESCONHECIDO,DESCONHECIDO
